"Date","Time","Open","High","Low","Close","Up","Down","xHigh","xLow","xOpen","xClose"
01/02/2014,09:05,1836.50,1837.25,1836.25,1837.25,1314,51,0.00,0.00,0.00,0.00
01/02/2014,09:10,1837.25,1837.50,1836.25,1836.50,1492,1700,1837.50,0.00,0.00,1469.35
01/02/2014,09:15,1836.50,1837.00,1836.00,1836.25,520,1690,1837.00,734.67,734.67,1616.04
01/02/2014,09:20,1836.50,1836.75,1835.75,1836.50,2045,1329,1836.75,1175.36,1175.36,1704.17
01/02/2014,09:25,1836.25,1837.00,1836.25,1837.00,1213,1135,1837.00,1439.76,1439.76,1757.40
01/02/2014,09:30,1836.75,1837.50,1836.50,1837.25,2605,2283,1837.50,1598.58,1598.58,1789.42
01/02/2014,09:35,1837.25,1838.00,1835.25,1836.25,20019,25663,1838.00,1694.00,1694.00,1807.95
01/02/2014,09:40,1836.50,1836.50,1832.00,1832.25,18800,23663,1836.50,1750.97,1750.97,1816.79
01/02/2014,09:45,1832.25,1833.00,1830.25,1832.75,26198,20433,1833.00,1783.88,1783.88,1822.53
01/02/2014,09:50,1833.00,1833.75,1832.25,1833.25,16747,12778,1833.75,1803.21,1803.21,1827.14
01/02/2014,09:55,1833.50,1834.25,1831.75,1834.00,20292,17011,1834.25,1815.17,1815.17,1829.83
01/02/2014,10:00,1834.00,1834.25,1832.50,1832.75,6067,6344,1834.25,1822.50,1822.50,1830.95
01/02/2014,10:05,1833.00,1833.75,1828.25,1830.50,18988,23751,1833.75,1826.73,1826.73,1829.95
01/02/2014,10:10,1830.25,1831.25,1830.00,1831.25,11707,11249,1831.25,1828.34,1828.34,1830.42
01/02/2014,10:15,1831.25,1832.75,1831.00,1832.25,8030,5493,1832.75,1829.38,1829.38,1831.53
01/02/2014,10:20,1832.00,1833.00,1831.75,1832.25,3912,6161,1833.00,1830.45,1830.45,1831.94
01/02/2014,10:25,1832.25,1832.75,1830.75,1831.25,4039,6002,1832.75,1830.75,1831.20,1831.44
01/02/2014,10:30,1831.25,1832.00,1830.25,1831.50,5433,4802,1832.00,1830.25,1831.32,1831.31
01/02/2014,10:35,1831.50,1832.00,1830.50,1831.25,5516,4935,1832.00,1830.50,1831.32,1831.26
01/02/2014,10:40,1831.50,1831.75,1830.25,1830.75,3743,4889,1831.75,1830.25,1831.29,1830.96
01/02/2014,10:45,1831.00,1834.00,1831.00,1833.25,12558,8882,1834.00,1831.00,1831.12,1832.52
01/02/2014,10:50,1833.25,1833.50,1832.25,1832.50,4034,3819,1833.50,1831.82,1831.82,1832.51
01/02/2014,10:55,1832.75,1833.00,1831.00,1832.00,11871,8614,1833.00,1831.00,1832.17,1832.03
01/02/2014,11:00,1832.00,1832.25,1831.50,1832.25,3880,2419,1832.25,1831.50,1832.10,1832.07
01/02/2014,11:05,1832.00,1832.25,1830.50,1830.75,3848,4759,1832.25,1830.50,1832.09,1831.27
01/02/2014,11:10,1830.75,1832.50,1830.50,1832.00,8305,3709,1832.50,1830.50,1831.68,1831.74
01/02/2014,11:15,1832.00,1832.50,1831.25,1831.75,4896,4054,1832.50,1831.25,1831.71,1831.79
01/02/2014,11:20,1831.75,1832.75,1831.25,1832.50,3822,3151,1832.75,1831.25,1831.75,1832.15
01/02/2014,11:25,1832.25,1833.25,1832.00,1832.50,3328,3947,1833.25,1831.95,1831.95,1832.44
01/02/2014,11:30,1832.50,1832.75,1831.00,1831.50,4084,5620,1832.75,1831.00,1832.19,1831.79
01/02/2014,11:35,1831.50,1831.75,1829.75,1830.00,6360,7034,1831.99,1829.75,1831.99,1830.70
01/02/2014,11:40,1830.00,1830.75,1829.75,1830.25,5289,2972,1831.35,1829.75,1831.35,1830.47
01/02/2014,11:45,1830.00,1830.75,1829.75,1830.75,3861,2916,1830.91,1829.75,1830.91,1830.58
01/02/2014,11:50,1830.75,1830.75,1828.50,1828.75,4447,7704,1830.75,1828.50,1830.74,1829.50
01/02/2014,11:55,1828.75,1828.75,1826.25,1827.00,11900,17300,1830.12,1826.25,1830.12,1827.82
01/02/2014,12:00,1827.00,1827.50,1825.50,1827.25,12314,8894,1828.97,1825.50,1828.97,1827.29
01/02/2014,12:05,1827.50,1828.00,1826.75,1827.75,6763,4296,1828.13,1826.75,1828.13,1827.68
01/02/2014,12:10,1827.50,1828.50,1827.50,1828.00,5579,2824,1828.50,1827.50,1827.91,1827.98
01/02/2014,12:15,1828.00,1828.25,1827.00,1827.50,2059,2953,1828.25,1827.00,1827.94,1827.64
01/02/2014,12:20,1827.25,1827.50,1826.50,1826.75,3473,4471,1827.79,1826.50,1827.79,1827.06
01/02/2014,12:25,1827.00,1827.25,1826.50,1827.00,4446,2962,1827.42,1826.50,1827.42,1827.03
01/02/2014,12:30,1827.00,1827.25,1825.50,1826.50,5435,9454,1827.25,1825.50,1827.23,1826.60
01/02/2014,12:35,1826.50,1826.50,1824.75,1826.00,6160,10058,1826.91,1824.75,1826.91,1826.03
01/02/2014,12:40,1826.00,1826.50,1825.75,1826.50,4700,2559,1826.50,1825.75,1826.47,1826.34
01/02/2014,12:45,1826.50,1826.75,1824.25,1824.75,5255,7622,1826.75,1824.25,1826.41,1825.38
01/02/2014,12:50,1825.00,1826.25,1824.75,1826.00,4529,2469,1826.25,1824.75,1825.90,1825.78
01/02/2014,12:55,1826.00,1826.75,1825.50,1826.50,5358,3758,1826.75,1825.50,1825.84,1826.22
01/02/2014,13:00,1826.25,1827.25,1825.50,1827.25,7438,2870,1827.25,1825.50,1826.03,1826.66
01/02/2014,13:05,1827.25,1828.00,1827.00,1827.25,5113,2836,1828.00,1826.34,1826.34,1827.17
01/02/2014,13:10,1827.25,1827.50,1826.50,1826.50,1090,2955,1827.50,1826.50,1826.75,1826.75
01/02/2014,13:15,1826.50,1826.75,1826.25,1826.25,1152,870,1826.75,1826.25,1826.75,1826.45
01/02/2014,13:20,1826.25,1826.50,1826.00,1826.25,944,1490,1826.60,1826.00,1826.60,1826.32
01/02/2014,13:25,1826.25,1826.75,1825.25,1825.75,4815,3386,1826.75,1825.25,1826.46,1825.99
01/02/2014,13:30,1825.75,1826.25,1825.25,1825.75,2015,2774,1826.25,1825.25,1826.23,1825.85
01/02/2014,13:35,1825.75,1826.00,1824.25,1825.50,3913,7261,1826.04,1824.25,1826.04,1825.46
01/02/2014,13:40,1825.50,1826.25,1824.75,1825.00,3773,2606,1826.25,1824.75,1825.75,1825.35
01/02/2014,13:45,1824.75,1825.50,1824.75,1824.75,3719,5010,1825.55,1824.75,1825.55,1825.06
01/02/2014,13:50,1825.00,1827.75,1824.25,1826.75,9147,8331,1827.75,1824.25,1825.30,1826.16
01/02/2014,13:55,1826.50,1827.25,1825.50,1825.75,4114,4410,1827.25,1825.50,1825.73,1826.00
01/02/2014,14:00,1826.00,1826.75,1825.75,1826.75,2242,2123,1826.75,1825.75,1825.86,1826.37
01/02/2014,14:05,1826.75,1827.75,1826.50,1827.00,3854,4732,1827.75,1826.12,1826.12,1826.87
01/02/2014,14:10,1827.00,1828.00,1827.00,1827.00,2752,4866,1828.00,1826.50,1826.50,1827.10
01/02/2014,14:15,1827.25,1828.00,1826.00,1826.00,6301,5822,1828.00,1826.00,1826.80,1826.56
01/02/2014,14:20,1826.00,1826.25,1822.50,1823.00,8337,19619,1826.68,1822.50,1826.68,1824.29
01/02/2014,14:25,1823.00,1824.00,1821.75,1823.75,8209,8033,1825.48,1821.75,1825.48,1823.75
01/02/2014,14:30,1823.75,1824.00,1823.00,1823.25,3074,2572,1824.61,1823.00,1824.61,1823.62
01/02/2014,14:35,1823.25,1824.50,1823.25,1824.50,4045,1173,1824.50,1823.25,1824.12,1824.17
01/02/2014,14:40,1824.25,1825.00,1824.00,1824.50,3791,2771,1825.00,1824.00,1824.15,1824.43
